Stimuli,Category,Item,item_id,Database Name,pinyin,hanzi,tone,mp_id,mp_tones
stims,drink,cup,cup_a,PICTURE_142,bēi,杯,1,a,"1, 4"
stims,leisure,blanket,blanket_a,PICTURE_460,bèi,被,4,a,"1, 4"
stims,leisure,coin,coin_b,PICTURE_383,bì,币,4,b,"3, 4"
stims,leisure,pen,pen_b,PICTURE_654,bǐ,笔,3,b,"3, 4"
stims,food,cake,cake_c,PICTURE_34,bǐng,饼,3,c,"1, 3"
stims,food,ice,ice_c,PICTURE_735,bīng,冰,1,c,"1, 3"
stims,drink,tea,tea_d,PICTURE_392,chá,茶,2,d,"1, 2"
stims,tool,fork,fork_d,PICTURE_673,chā,叉,1,d,"1, 2"
stims,tool,pot,pot_f,PICTURE_369,dǐng,鼎,3,f,"1, 3"
stims,tool,nail,nail_f,PICTURE_485,dīng,钉,1,f,"1, 3"
stims,tool,sword,sword_g,PICTURE_301,jiàn,剑,4,g,"3, 4"
stims,tool,scissors,scissors_g,PICTURE_453,jiǎn,剪,3,g,"3, 4"
stims,animal,cat,cat_h,PICTURE_606,māo,猫,1,h,"1, 4"
stims,clothing,hat,hat_h,PICTURE_690,mào,帽,4,h,"1, 4"
stims,animal,snake,snake_i,PICTURE_549,shé,蛇,2,i,"2, 4"
stims,animal,deer,deer_i,PICTURE_105,shè,麝,4,i,"2, 4"
stims,leisure,book,book_j,PICTURE_505,shū,书,1,j,"1, 4"
stims,plant,tree,tree_j,PICTURE_693,shù,树,4,j,"1, 4"
stims,leisure,king,king_k,PICTURE_451,wáng,王,2,k,"2, 3"
stims,leisure,net,net_k,PICTURE_170,wǎng,网,3,k,"2, 3"
stims,animal,duck,duck_l,PICTURE_400,yā,鸭,1,l,"1, 2"
stims,body,tooth,tooth_l,PICTURE_569,yá,牙,2,l,"1, 2"
stims,body,eye,eye_m,PICTURE_241,yǎn,眼,3,m,"1, 3"
stims,leisure,cigarette,cigarette_m,PICTURE_153,yān,烟,1,m,"1, 3"
stims,food,oil,oil_n,PICTURE_456,yóu,油,2,n,"2, 4"
stims,food,pomelo,pomelo_n,PICTURE_129,yòu,柚,4,n,"2, 4"
stims,earth,rain,rain_o,PICTURE_190,yǔ,雨,3,o,"2, 3"
stims,animal,fish,fish_o,PICTURE_324,yú,鱼,2,o,"2, 3"
